origin,destination,intermediate,distance,duration,static_duration,polyline,request_time
E_Wash_at_Milwaukee,JND_at_North_Shore,E_Wash_at_First,5709,764s,696s,w_afGd|i`Pl@wBDm@B}@zCLTLxFpITn@Hn@GJC\KXOFIVDRPHFAp@~@~@~@hBxAt@f@HArFbEjEzCpF`EnDfC`JvG}@nAsD|FuBdDa@NUb@pEjHxDxFdEvGrClEvJrO|g@fy@dInMtLcQFGt@W\Cf@J\TdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T22:20:13Z
E_Wash_at_Milwaukee,JND_at_North_Shore,Willy_at_Ingersoll,5259,689s,690s,w_afGd|i`Pl@wBDm@B}@zCLTLxFpITn@Hn@GJC\KXOFIVDRPHFAp@~@~@~@hBxAt@f@HArFbEjEzCpF`EnDfC|OjLn@n@b@NxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xGb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T22:20:13Z
Wilson_at_Willy,Eastwood_at_Winnebago,Willy_at_Ingersoll,2289,322s,316s,ai|eGreo`PXG_AiHSq@mDeGk@y@E?aCwDxBcD]_AuTu]Wc@eCpDsFiJcM}Rs@iAoB}BiI_JyDuC,2025-09-21T22:20:14Z
Eastwood_at_Winnebago,Wilson_at_Willy,Willy_at_Ingersoll,2266,373s,336s,ux~eGdtk`PxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xG,2025-09-21T22:20:14Z
JND_at_North_Shore,Olbrich_boat_launch,Willy_at_Ingersoll,6055,681s,695s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[KCQa@YUm@m@_EWs@cDsFk@y@E?aCwDxBcD]_AuTu]Wc@eCpDsFiJcM}Rs@iAoB}BiI_JyDuCSg@i@u@q@oAiCgGkBmEcBsDqEkKsBuEk@eBWyAiAgJSkAc@}DK}@Aw@LsVBeEBYrKg\`@wAzEiS\RPRH`@Ab@Ql@e@bA?ZFRJLf@N,2025-09-21T22:38:47Z
JND_at_North_Shore,E_Wash_at_Milwaukee,Willy_at_Ingersoll,5403,618s,598s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[KCQa@YUm@m@_EWs@cDsFk@y@E?aCwDxBcD]_AuTu]Wc@eCpD_O~Se@l@aQyXuBeDs@qAiFcImIuMmGyJcFsH{LeQeM}QyFsIs@y@uAgA,2025-09-21T22:38:48Z
JND_at_North_Shore,E_Wash_at_Milwaukee,E_Wash_at_First,5120,574s,540s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[Kg@Bi@VMTAFwJjNOAi@POCSMgUi^{LyRsVq`@s@qAiFcImIuMoDwF{DcG{HaLeGuIeM}QyFsIs@y@uAgA,2025-09-21T22:38:48Z
Olbrich_boat_launch,JND_at_North_Shore,Willy_at_Ingersoll,6143,821s,833s,u`_fGr`g`Pg@OKMGS?[h@kALe@@c@Ia@QSm@]yF|UyK`]@vBCTQlYHlA`@lD~@nGn@jFnApJLt@lBvORbBDd@|OjLn@n@b@NxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xGb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T22:38:48Z
E_Wash_at_Milwaukee,JND_at_North_Shore,E_Wash_at_First,5709,688s,696s,w_afGd|i`Pl@wBDm@B}@zCLTLxFpITn@Hn@GJC\KXOFIVDRPHFAp@~@~@~@hBxAt@f@HArFbEjEzCpF`EnDfC`JvG}@nAsD|FuBdDa@NUb@pEjHxDxFdEvGrClEvJrO|g@fy@dInMtLcQFGt@W\Cf@J\TdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T22:38:48Z
E_Wash_at_Milwaukee,JND_at_North_Shore,Willy_at_Ingersoll,5259,671s,690s,w_afGd|i`Pl@wBDm@B}@zCLTLxFpITn@Hn@GJC\KXOFIVDRPHFAp@~@~@~@hBxAt@f@HArFbEjEzCpF`EnDfC|OjLn@n@b@NxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xGb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T22:38:48Z
